AL_stream,specialization,career,Justification
Technology,Cyber Security,"QA Engineer, System Analyst, Penetration Tester, UI/UX Designer, Web Developer","Based on your A/L stream 'Technology' and specialization in 'Cyber Security', these career paths are suggested using the well established RIASEC theory."
Technology,Interactive Media,"Network Engineer, Technical Writer, BI Analyst, System Administrator, Backend Developer","Based on your A/L stream 'Technology' and specialization in 'Interactive Media', these career paths are suggested using the well established RIASEC theory."
Technology,Data Science,"Infrastructure Specialist, Business Analyst, Mobile App Developer","Based on your A/L stream 'Technology' and specialization in 'Data Science', these career paths are suggested using the well established RIASEC theory."
Other / Vocational,Information Technology,"BI Analyst, IT Consultant, SOC Analyst","Based on your A/L stream 'Other / Vocational' and specialization in 'Information Technology', these career paths are suggested using the well established RIASEC theory."
Other / Vocational,Computer Systems & Network Engineering,"Security Engineer, Data Scientist, Support Engineer, Cloud Engineer","Based on your A/L stream 'Other / Vocational' and specialization in 'Computer Systems & Network Engineering', these career paths are suggested using the well established RIASEC theory."
Other / Vocational,Software Engineering,"Security Engineer, IT Project Coordinator, QA Engineer, Game Designer, Business Analyst","Based on your A/L stream 'Other / Vocational' and specialization in 'Software Engineering', these career paths are suggested using the well established RIASEC theory."
Other / Vocational,Information Systems Engineering,"Cybersecurity Analyst, BI Analyst, Support Engineer, QA Engineer, Data Analyst","Based on your A/L stream 'Other / Vocational' and specialization in 'Information Systems Engineering', these career paths are suggested using the well established RIASEC theory."
Other / Vocational,Cyber Security,"UI/UX Designer, QA Engineer, IT Consultant","Based on your A/L stream 'Other / Vocational' and specialization in 'Cyber Security', these career paths are suggested using the well established RIASEC theory."
Other / Vocational,Interactive Media,"QA Engineer, Product Owner, Frontend Developer, IT Project Coordinator","Based on your A/L stream 'Other / Vocational' and specialization in 'Interactive Media', these career paths are suggested using the well established RIASEC theory."
Other / Vocational,Data Science,"System Administrator, Solutions Architect, Frontend Developer, UI/UX Designer","Based on your A/L stream 'Other / Vocational' and specialization in 'Data Science', these career paths are suggested using the well established RIASEC theory."
